P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,0.93,1043.14,269.26,0.48486704344472414,0.9862582889047493
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,0.91,1051.78,277.1,0.49079615005543814,0.9948008319544295
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,0.69,1049.8,315.49,0.5015681362190262,0.9912193493657941
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,1.04,1037.61,304.12,0.4689194126305546,0.9777320060023653
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,0.74,1053.21,276.67,0.505727565436004,0.998115510395395
18389418.56,1115.32,24106231.22,2.96,799.17,60.08,0.82,1040.99,309.28,0.4871933710144861,1.001784362204276
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,0.57,990.96,312.9,0.17392694495491606,0.782166175952089
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,0.95,990.1,275.9,0.43333940164755946,0.9676800121380434
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,0.91,994.56,310.63,0.4278440805527329,0.9714275739975762
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,0.53,975.85,287.71,0.1165923850629848,0.728234364108812
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,0.64,981.25,279.46,0.24012332788182303,0.8212020500690554
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,0.75,979.19,293.34,0.3086311113829131,0.8803054181599818
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,1.03,984.65,302.34,0.4284307621212228,0.9721224888067651
48189411.3,1060.26,24174924.65,2.81,806.97,64.55,0.81,986.44,265.51,0.34159188926329737,0.9004101586951828
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,1.01,1004.61,294.68,0.44363520184579525,0.974431591789588
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,0.73,990.24,287.96,0.3515231004532854,0.8992190025872676
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,0.95,989.04,317.86,0.41360980426617394,0.9481110101518881
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,0.89,995.64,281.52,0.4131853950637317,0.9405680397746338
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,0.57,986.48,266.76,0.23191770022920002,0.804214647965627
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,0.67,1000.22,306.07,0.3203618897712856,0.8813526557588015
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,0.79,992.93,304.38,0.3726028092533835,0.9306719755621043
100729321.38,1044.26,24150596.55,2.78,831.25,39.43,0.59,999.71,274.41,0.2699192955931204,0.8369693870962504
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.94,1104.88,266.85,0.5340736242041155,0.9996651170114548
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.63,1099.24,296.09,0.5241776715870728,0.9985796012735498
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.91,1096.9,281.2,0.5315758416951798,0.9986682038031136
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.54,1111.52,300.66,0.5257069364256883,0.9999286524156398
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.67,1102.45,272.89,0.5323652910914284,0.9989928039120921
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.81,1109.33,315.68,0.5255518141887083,0.9998741212020845
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.72,1094.95,311.23,0.5212018183446158,0.9982705079753437
35863504.53,1192.01,24825283.72,2.86,824.75,79.31,0.99,1107.01,288.08,0.5345982837479145,1.000003967838141
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,0.73,1112.39,291.63,0.5353598285944476,0.9994537008795634
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,0.52,1110.24,305.28,0.5251575567514537,0.9985404077945248
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,0.94,1117.88,303.6,0.5319032191842347,1.0005266093893335
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,0.66,1123.02,274.31,0.5390927013171849,1.0000875336997064
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,0.91,1114.6,267.88,0.5397449743644441,1.0002452673373698
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,0.82,1128.29,288.01,0.5419549095656052,1.0007531550117412
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,1.02,1119.99,283.57,0.542623904074563,1.0009352385898445
64481230.54,1174.42,24676629.85,2.86,807.99,45.44,0.62,1125.59,312.48,0.5302599270793904,1.000167660945143
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,0.71,1151.32,299.48,0.5491944960364236,1.0122951308304766
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,0.52,1152.39,279.53,0.553018688436642,1.0049519197458758
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,0.81,1146.49,274.7,0.5594717349009134,1.0136874541662848
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,0.9,1160.54,307.78,0.5574939364345615,1.0251239859341037
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,0.66,1141.67,286.04,0.553284327811715,1.0055865939273099
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,0.59,1146.99,315.01,0.5439742193784511,1.0052728837876082
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,1.03,1157.12,264.37,0.5687172380725323,1.0296882318146805
36247390.88,1224.59,24580025.03,2.85,840.45,62.95,0.91,1154.28,293.07,0.5621006209012942,1.0215443882605115
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,0.91,1047.44,309.76,0.47676926732162717,0.987388611713482
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,0.55,1036.0,276.54,0.40488633699166193,0.9301445301160179
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,0.8,1052.51,316.88,0.3611218141538083,0.9033892761171698
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,1.02,1035.28,299.7,0.46530621357225743,0.9739946526536641
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,0.6,1050.16,292.57,0.39217141389227106,0.9204399136462768
21248281.93,1121.15,24258489.24,2.99,829.77,68.35,0.71,1045.11,264.01,0.3776318165179901,0.906994684191525
