transaction_id,ent
433929,['plaza']
433922,['plaza']
435609,['gaji']
435653,['gaji']
435685,['listrik']
435710,['gaji']
437069,"['cicilan', 'cicilan', 'cicilan']"
437071,"['batagor', 'agung', 'batagor']"
437136,['grab']
437095,['lunch']
437112,['sahabat']
437109,['pulsa']
437103,['lunch']
437098,['agung']
437106,['nasi']
437100,"['roti', 'sekar']"
437084,['nasi']
437315,['zara']
437384,['plaza']
437391,['plaza']
542706,['milk']
1008776,['martabak']
774105,['grab']
774106,['grab']
774109,['grab']
774114,['grab']
438020,['gaji']
774126,['grab']
774131,['grab']
774145,['grab']
774150,['grab']
571990,['gaji']
438576,['martabak']
774157,['grab']
774159,['grab']
774165,['grab']
774167,['grab']
774168,['grab']
774170,['grab']
543107,['bukalapak']
543124,['tokopedia']
543097,['bukalapak']
572701,['shopee']
572706,['kredit']
572872,['bukalapak']
428849,['bar']
428772,['netflix']
440063,['plaza']
80173,['bibit']
676189,['gaji']
1008802,['jajan']
677331,['wine']
672798,['plaza']
574190,['shopee']
5562597,['ayam']
1478102,['hokben']
1478101,['hokben']
672791,['plaza']
672806,['plaza']
446075,['jajan']
574538,['tokopedia']
574545,['zara']
1729176,['gaji']
1414210,['tokopedia']
448516,['kopi']
448517,['agung']
448521,['nasi']
449443,['mitra']
449464,['shopee']
449474,['netflix']
449477,['netflix']
451560,['bar']
451584,['bar']
451596,['bar']
1414335,['wifi']
1414341,['plaza']
454258,['bunga']
879915,['paul']
680604,"['tahu', 'bakso', 'tahu', 'bakso', 'tahu']"
577112,['kado']
1415191,['shopee']
609364,['tokopedia']
66135,['tokopedia']
458585,['sms']
462131,['kado']
556222,['gaji']
556215,['gaji']
426576,['shopee']
426578,['netflix']
426637,['tokopedia']
466158,['bata']
468469,['fajar']
776257,['barokah']
469573,['cream']
471132,['sekuritas']
473225,"['pempek', 'kopi']"
541547,['shopee']
506904,['shopee']
581867,['plaza']
481011,['tokopedia']
482028,['bibit']
485426,['grab']
682987,"['tahu', 'bakso', 'tahu', 'bakso', 'tahu']"
486183,['kredit']
486186,['kredit']
486191,['kredit']
486727,['grab']
487033,['jajan']
705716,['andhika']
488490,['zara']
488774,['agung']
489283,['bibit']
705779,['agung']
684359,"['dokter', 'invest']"
491313,['tokopedia']
491321,['siomay']
491368,['plaza']
705802,['firdaus']
705810,['agung']
493227,['netflix']
491266,['shopee']
491250,['plaza']
491279,['shopee']
491262,['plaza']
495935,['bukalapak']
494730,['wifi']
464059,['wifi']
494728,['wifi']
464061,['wifi']
494731,"['wifi', 'diva', 'diva', 'diva']"
464070,['donasi']
494739,['donasi']
464062,"['wifi', 'diva', 'diva', 'diva']"
494512,['zara']
495952,['tokopedia']
495986,['tokopedia']
495997,['tokopedia']
496510,['gojek']
496542,['stadium']
610759,['food']
490947,['shopee']
490960,['tokopedia']
490946,['shopee']
490968,['shopee']
490967,['shopee']
498398,['gaji']
498668,['tokopedia']
498672,['tokopedia']
497375,['zara']
1011811,['plaza']
685001,['netflix']
499593,"['bukalapak', 'plaza']"
499577,['shopee']
499601,"['nasi', 'laura']"
500191,['shopee']
501443,['firdaus']
501767,['universitas']
501774,['plaza']
496148,['sms']
496122,['fajar']
496162,['bima']
503345,"['spotify', 'spotify']"
503313,['gojek']
504073,['kopi']
504074,['agung']
504078,['nasi']
504084,"['cicilan', 'cicilan', 'cicilan']"
504086,"['batagor', 'agung', 'batagor']"
504099,['nasi']
504110,['lunch']
504113,['agung']
504115,"['roti', 'sekar']"
504118,['lunch']
504121,['nasi']
504124,['pulsa']
504127,['sahabat']
504269,['plaza']
504276,['plaza']
504389,['agung']
504392,['agung']
504681,['agung']
504684,['agung']
504690,['shopee']
504702,['agung']
504704,['shopee']
504708,['shopee']
504716,['agung']
882290,['sms']
504760,['tokopedia']
504880,['bibit']
504444,['grab']
499009,['mitra']
499030,['shopee']
499040,['netflix']
499043,['netflix']
506702,"['netflix', 'netflix']"
506705,"['netflix', 'netflix']"
427599,['tokopedia']
427579,['tokopedia']
504770,['zara']
509067,['kopi']
561350,['shopee']
561338,['tokopedia']
6492222,['kado']
611441,['tokopedia']
453388,['plaza']
510244,['gaji']
510251,['gaji']
561346,['shopee']
561372,['shopee']
510488,['gaji']
488783,['agung']
488787,['agung']
524871,['shopee']
453394,['shopee']
453372,['shopee']
524867,['shopee']
524887,['plaza']
524893,['shopee']
488789,['agung']
488792,['agung']
488778,['agung']
453368,['shopee']
511169,['plaza']
453360,['tokopedia']
524859,['tokopedia']
512946,['tokopedia']
512921,['tokopedia']
512937,['tokopedia']
507804,"['pempek', 'kopi']"
1478273,"['grab', 'food']"
1089361,['plaza']
514876,['gaji']
617524,['gojek']
617526,['agung']
516333,['zara']
1418421,['bunga']
1418422,['firdaus']
1987274,['shopee']
520616,['tokopedia']
883257,['tokopedia']
593400,['aulia']
522017,['soto']
492701,['gaji']
542400,['gaji']
685561,[]
685562,['bibit']
525443,['plaza']
524367,['bakso']
524817,['gojek']
525799,['kredit']
525802,['kredit']
525807,['kredit']
526138,['shopee']
526146,['plaza']
539956,"['dokter', 'invest']"
896304,['plaza']
896317,['plaza']
497046,['shopee']
497042,['indomaret']
497050,['milk']
764510,['shopee']
764534,['shopee']
764523,['shopee']
778777,['shopee']
764518,['shopee']
514927,['mcd']
597559,['tokopedia']
597560,['tokopedia']
488600,['fajar']
1414333,['plaza']
1414330,['asri']
540585,['grab']
541043,['martabak']
541875,['fajar']
541871,['bar']
542056,['tokopedia']
542031,['tokopedia']
542047,['tokopedia']
542027,['tokopedia']
780205,['bibit']
780206,['bibit']
780207,['bibit']
780211,['bibit']
780212,['bibit']
780213,['bibit']
542480,"['spotify', 'spotify']"
542698,['indomaret']
542702,['shopee']
542816,['bibit']
543169,['tokopedia']
543158,['tokopedia']
688396,"['tahu', 'bakso', 'tahu', 'bakso', 'tahu']"
1013496,['bar']
1074275,['plaza']
1074823,['netflix']
706889,['sms']
706885,['sms']
706882,['plaza']
1154563,['universitas']
548035,"['kopi', 'agung']"
548047,['gaji']
1478177,['tokopedia']
639322,['tokopedia']
