H_drop_design,Q_in,T_in_design,T_out_design,T_amb,mdot,eta_rcv
22.10772,489414446.7,789.96505,1269.210742,270.313398,728.812416,0.902222
17.369084,315602667.5,952.168294,1039.031467,272.959803,2736.353142,0.944047
11.065136,737451742.8,854.029841,1216.952925,283.864534,1582.14661,0.986921
13.838683,260672552,893.831042,1217.651289,289.973732,586.781476,0.929724
49.38886,307801615.6,952.09162,1396.949365,295.343094,0,0
34.777056,696153677.8,821.371806,1118.62444,290.411846,1658.68146,0.879984
45.360253,675961344.8,948.304656,1113.091393,304.088625,2552.90171,0.788397
26.98776,948389954,886.381243,1375.773759,282.297174,1352.164865,0.908367
24.989732,659230265.6,943.333874,1094.346962,279.389428,3242.936671,0.937748
44.017127,616015025,943.148961,1432.088614,307.994566,438.419321,0.459978
23.643456,564107907.1,913.862894,1472.568202,317.992526,655.005245,0.858388
37.746205,977641854.4,966.307272,1339.636114,289.615169,1675.155739,0.838355
29.442033,868528590.3,918.654375,1326.508306,305.998671,1461.932133,0.892101
43.621723,776370308.4,810.271008,1371.907525,287.776515,742.394708,0.690937
11.603097,566466954.1,853.558793,1049.229684,314.368665,2313.080409,0.987264
30.033783,274828017.2,931.245823,1220.970491,313.687003,506.646076,0.685408
36.798569,245355507.7,782.175235,1112.384696,268.138897,321.623353,0.533754
46.132835,730762277.7,905.73534,1149.937215,280.793739,1848.961435,0.78184
9.374522,75131451.42,834.828446,1172.745061,271.066438,158.44764,0.894722
21.193654,440254281.8,852.326336,1217.75881,270.520588,862.48875,0.90729
13.151142,599800104.9,887.518737,1403.616204,286.43999,855.802333,0.962293
32.656646,706880153,777.341296,1465.937066,266.608831,620.764591,0.783829
16.938998,59547508.62,868.927588,1210.681761,289.726299,55.780691,0.406355
43.587282,124476652.1,823.609642,1299.774837,269.901229,-1.448295,0
34.645705,498935018.8,800.121055,1056.083559,292.897681,1361.558989,0.856247
17.383573,750294624.2,814.822179,1282.832483,281.965978,1209.163101,0.959138
33.164222,446562666.3,832.751639,1103.841876,271.828402,1104.498039,0.832746
47.239815,685821915,958.265174,1192.133564,288.580827,1659.133655,0.726015
28.141867,388442273.5,813.166959,1463.858238,289.053204,304.477542,0.66449
33.295561,607839355.2,775.52352,1075.0748,280.682276,1467.293666,0.885342
15.116775,494288117.8,873.510423,1197.782624,273.488217,1154.55855,0.960323
12.239107,463699837.8,924.272451,1259.36847,305.314935,1040.692111,0.969252
48.524943,314987226.1,863.578772,1155.508115,271.675924,0,0
21.651485,316475906,924.134846,1076.028986,276.55959,1496.973378,0.901746
7.380631,752819986.4,945.678166,1159.044467,293.896331,2753.883205,0.995004
31.176868,670307960,862.1442,1275.229103,273.829151,1090.308681,0.859811
28.037285,329264411.7,896.319656,1415.298799,274.588103,305.670006,0.631346
36.964214,764446601.4,908.855701,1065.012656,316.161241,3501.77045,0.894101
6.721866,905643523.6,776.098455,1055.913397,275.732802,2644.885041,0.997518
23.740659,311030198.1,876.323983,1186.582489,292.852717,672.419816,0.849411
29.578129,871414932.2,839.994391,1225.839664,285.500566,1625.432371,0.911405
15.194577,818111728.3,841.460372,1252.97272,296.425299,1524.099769,0.974824
36.028321,463294060.3,822.009689,1466.924936,275.381923,260.325615,0.472917
16.333878,281601511.5,877.211881,1061.621603,279.315079,1153.801563,0.939108
35.917257,287369484.3,885.001918,1445.786591,274.984003,0,0
27.141701,6246252.105,949.230846,1115.538475,310.732415,-67.343332,0
32.263413,118770477.1,917.294206,1337.689012,310.874041,0,0
35.014773,632489614.2,951.4579,1191.021066,270.076639,1723.952608,0.836932
37.312022,731234091,828.749142,1378.084524,283.006737,793.068718,0.769283
5.422744,529678128.4,868.552795,1041.196668,269.628988,2472.718788,0.997086
8.038602,266987604.8,910.201186,1196.617838,285.944546,716.373406,0.979709
24.359883,555566771.7,879.609557,1278.130731,273.018629,969.423025,0.89257
39.543467,892285293.4,845.373596,1110.519134,315.771418,2385.079507,0.88298
23.653752,897451234.9,814.924958,1406.850295,310.213247,1080.552762,0.921847
49.357116,899213150.4,797.442091,1358.674224,268.070061,828.476889,0.662734
49.423642,223181285,774.562597,1054.652704,311.847407,0,0
26.620825,102329071.8,901.202251,1343.333416,295.281802,0,0
7.497839,850887580.4,880.837296,1345.262396,273.773919,1405.091043,0.99358
26.944974,184154584.5,970.577927,1225.462835,300.736535,327.367471,0.58519
27.279171,40072789.05,967.778027,1191.975364,281.892857,-0.630954,0
5.807099,217164773.9,909.508297,1458.073194,306.19798,292.585567,0.975579
42.658121,522266232.2,821.348846,1177.144554,278.593672,830.511401,0.709263
49.334073,202571120.9,888.094906,1327.738297,293.064038,0,0
40.47526,490580349,780.675983,1400.55402,279.274666,274.627022,0.446134
34.186644,920621155.8,925.112733,1420.019271,266.352418,1182.541435,0.836941
6.660735,396028976.6,866.057535,1368.545409,269.606553,599.943041,0.987107
36.10926,387394106.3,874.764606,1372.803773,297.969228,289.821869,0.484058
18.930361,332523664.8,786.922979,1337.051012,301.57111,416.815436,0.879745
13.629152,327832272.7,851.537707,1320.052554,300.540227,508.156343,0.933568
39.115856,260263050.1,848.248547,1087.03202,311.434399,493.155654,0.561913
31.989581,989562569.6,778.617974,1063.416964,302.243111,2673.691934,0.940873
13.755454,844143372.4,849.691647,1120.801496,303.318299,2458.443308,0.985932
40.748005,520200502.8,839.49272,1323.917915,288.138073,502.442658,0.600697
28.350071,640096982.5,789.286826,1273.599916,274.006699,919.981457,0.880445
43.71124,264050976.6,928.720791,1379.679737,314.591376,0,0
24.024932,858759815.5,912.234064,1339.036052,292.848816,1429.829469,0.92411
49.559832,987150342.8,960.33612,1342.721262,292.119579,1404.913541,0.712916
38.66965,270554183.4,881.311396,1429.240202,272.342003,0,0
48.858786,708814260.5,967.539511,1331.693983,296.859276,860.444146,0.578846
14.547927,95549127.41,934.41653,1115.382131,263.644953,347.016168,0.831094
28.558723,287723049.7,921.072686,1344.531508,267.07691,321.605852,0.616756
17.411503,208449741.1,967.65336,1106.549172,314.845952,1059.649498,0.896236
29.412287,463786732.7,790.102777,1302.971644,291.326959,572.996102,0.804925
11.051758,885355068.5,833.37647,1241.395719,314.171464,1692.622832,0.989004
18.709686,506524151.8,884.567153,1328.838256,305.152591,812.154187,0.921349
