P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,T_high,load,T_HTF_in_K,T_amb_input_K,eta_gross,eta_Q
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,0.67,1245.07,313.36,0.6011061861925205,1.0941941444498922
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,0.82,1246.87,284.11,0.6149620067294427,1.107479817541005
27488831.35,1250.02,24600762.45,2.81,838.66,1203.3547178344547,0.51,1239.56,304.87,0.5920884303266704,1.0728839915332242
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,0.72,1243.02,287.64,0.6140958288730157,1.1003989623872017
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,0.5,1247.45,291.65,0.6048956599963383,1.0797824874628281
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,0.89,1235.65,301.54,0.6080347104582999,1.1064466642937263
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,0.63,1246.1,276.77,0.6121282748024853,1.0944383302715908
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,0.84,1240.15,280.36,0.6169519720100479,1.1068880752241705
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,0.68,1237.1,313.9,0.6023598701644275,1.0921358719272394
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,0.93,1242.47,305.32,0.6109380235146975,1.1136847298777854
27488831.35,1250.02,24600762.45,2.81,838.66,1212.2436067233436,1.04,1248.18,264.0,0.6232093721461571,1.1226231587886837
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.58,1238.78,299.37,0.6020338732337988,1.0829041557415386
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.91,1236.01,317.11,0.6118939198327346,1.107586275047991
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.74,1242.74,294.22,0.6147973910985266,1.101819809340292
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.78,1248.32,269.39,0.6212305604854773,1.1088891037546311
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.66,1241.91,277.91,0.6154382183344455,1.0942221594599637
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.98,1237.04,287.65,0.6219834850981342,1.1116604197309368
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.52,1247.14,305.32,0.6016391488473689,1.0819054481462929
27488831.35,1250.02,24600762.45,2.81,838.66,1221.1324956122326,0.92,1244.75,270.62,0.6234401593260712,1.1144133011001596
