Name,Rating,NumberOfUser,Address,lat,lon
Nasi Goreng Arteri cah Solo 3,4.1,16,"Jl. Panjang Arteri Klp. Dua Raya No.6F, RT.1/RW.3, Klp. Dua, Kota Jakarta Barat",-6.2025146,106.7691803
Nasi Goreng Qolbu,0.0,0,"Jl. Sasak II No.2, RT.2/RW.2, Klp. Dua, Kota Jakarta Barat",-6.205674399999999,106.7700969
Nasi Goreng Goyang Lidah,3.6,5,"Jl. Adam No.1A, RT.3/RW.10, Sukabumi Utara, Kota Jakarta Barat",-6.209245300000001,106.7743756
Nasi Goreng Husin,4.4,5,"Jl. Qrisdoren No.1, RT.8/RW.5, Sukabumi Utara, Kota Jakarta Barat",-6.209911399999999,106.7740941
NASI GORENG 212,4.0,1,"Jl. Panjang Arteri Klp. Dua Raya No.17, RT.6/RW.2, Klp. Dua, Kota Jakarta Barat",-6.204236000000001,106.7696676
Nasi Goreng Laris Jaya,4.5,70,"Jl. H. Domang No.59-10, Kb. Jeruk, Kota Jakarta Barat",-6.2022414,106.7705337
Nasi Goreng Kambing Berani,4.2,20,"Jl. H Sulaeman No.15A, RT.4/RW.3, Klp. Dua, Kota Jakarta Barat",-6.2046705,106.7675455
Nasi Goreng Moncer,0.0,0,"Jl. H. Domang No.26, RT.9/RW.2, Kb. Jeruk, Kota Jakarta Barat",-6.2021277,106.7732507
Nasi Goreng Pak Bejo 65,0.0,0,"Jl. Masjid As Surur No.32, RT.3/RW.1, Kb. Jeruk, Kota Jakarta Barat",-6.2012087,106.7668446
Nasi goreng Fajar jaya,5.0,1,"Jl. Musyawarah No.7, RT.14/RW.2, Kb. Jeruk, Kota Jakarta Barat",-6.200755,106.7738972
Kuliner icha,5.0,2,"Jl. Ibrahim No.14-36, RT.4/RW.5, Sukabumi Utara, Kota Jakarta Barat",-6.208031999999999,106.7761542
Nasi Goreng Karena Kamu,0.0,0,"Jl. H. Kelik No.89, RT.4/RW.8, Klp. Dua, Kota Jakarta Barat",-6.2087726,106.7665124
Nasi Goreng Pak Bejo SMA 65,4.8,34,"Jl. Panjang Arteri Klp. Dua Raya No.3, Kb. Jeruk, Kota Jakarta Barat",-6.2005355,106.7673687
Nasi Goreng Mas Ali,4.6,21,"6, Jl. H. Kelik No.1, RT.1/RW.6, Srengseng, Kota Jakarta Barat",-6.2092109,106.7613709
nasi goreng joss khas Pemalang,5.0,2,"Jl. Bambu II No.14, RT.2/RW.6, Srengseng, Kota Jakarta Barat",-6.210605999999999,106.76042
Nasi Goreng Barokah Pak Slamet,4.4,93,"1, Jl. Srengseng Raya No.7 C, RW.5, Srengseng, Kota Jakarta Barat",-6.205724099999999,106.7582119
Nasi Goreng SEGER Mas Hendra,4.5,19,"Jl. Kapung No.83, RT.6/RW.6, Srengseng, Kota Jakarta Barat",-6.207821099999999,106.7586637
Nasi Goreng Bang Samin,4.1,21,"Jalan Raya No.3 (Kios 5), RT.001 RW05, Kel. Srengseng, RT.1/RW.5, Srengseng Kembangan, 11630, RT.1/RW.5, Srengseng, Kota Jakarta Barat",-6.2059928,106.7583588
Nasi Goreng 45,0.0,0,"Jl. Lapangan Bola No.7, RT.3/RW.7, Srengseng, Kota Jakarta Barat",-6.2007445,106.760666
Nasi Goreng 5758,5.0,3,"Jl. Arafah No.48-49 10 1, RT.10/RW.1, Srengseng, Kota Jakarta Barat",-6.2015274,106.7581864
Saputra Nasi Goreng,4.3,6,"Jalan Karya Utama Rt 03 Rw 06 Nomor 70, Srengseng, Kembangan, RT.3/RW.6, Srengseng, Kota Jakarta Barat",-6.2127021,106.7612585
Nasi Goreng Mas Gepenk,0.0,0,"Jl. Dr.Kasih No.1 / 18, RT.8/RW.1, Kb. Jeruk, Kota Jakarta Barat",-6.2010051,106.7641436
NASGOR SEDAP MALAM,0.0,0,"Jl. Srengseng Raya No.53-56, RT.1/RW.2, Srengseng, Kota Jakarta Barat",-6.2041743,106.7578461
Nasi Goreng Sindang Rered 88,3.5,4,"Jl. Flamboyan, RT.6/RW.2, Srengseng, Kota Jakarta Barat",-6.201975399999999,106.7554792
Nasi Goreng,0.0,0,"Jl. K. H. Aja No.17A, RT.4/RW.1, Meruya Sel., Kota Jakarta Barat",-6.207300399999999,106.7419427
Nasi Bakar Rendang,5.0,1,"Rafel's Kampung Makan, Jl. Meruya Selatan, RT.4/RW.4, North Meruya, West Jakarta City",-6.2011821,106.740448
Nasi Goreng GILA,4.3,3,"Jl. Meruya Selatan No.36, RT.7/RW.4, Meruya Sel., Kota Jakarta Barat",-6.2086725,106.7377879
Nasi Goreng Sandekala,0.0,0,"Jl. H. Lebar, RT.7/RW.2, Meruya Sel., Kota Jakarta Barat",-6.210927499999999,106.7378164
Nasi Goreng Bahari,5.0,4,"Jl. H. Merin, RT.9/RW.4, Meruya, Kota Jakarta Barat",-6.206554000000001,106.737437
Nasi Goreng Bang Holen,4.1,7,"Jalan H. Juhri, RT.1/RW.8, Meruya Sel., Kota Jakarta Barat",-6.2107911,106.7356263
