country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,cloudopacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Pw Units,Relative humidity Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Indonesia,Solcast https://solcast.com,N/A,7,-6.2088,106.8456,10,deg.C,degree,%,deg.C,W/m2,W/m2,W/m2,W/m2,cm,%,cm,mbar,Degrees,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,cloudopacity,Dew Point,DHI,DNI,EBH,GHI,Pw,Relative humidity,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2008,1,7,10,0,25.3,112,10.8,23,54,275,72,126,44,87.5,0,979.8,242,3.3,81,,
2008,1,7,11,0,25.5,114,3.9,23,10,48,8,19,43.6,85.9,0,980.2,238,2.8,95,,
2008,1,7,12,0,25.3,117,0,22.9,0,0,0,0,43,86.2,0,980.7,233,2.5,109,,
2008,1,7,13,0,24.7,122,0,22.6,0,0,0,0,42.4,88,0,981.2,228,2.4,122,,
2008,1,7,14,0,24.1,130,0,22.4,0,0,0,0,41.8,90.1,0,981.7,223,2.2,134,,
2008,1,7,15,0,23.7,145,0,22.1,0,0,0,0,41.2,91.2,0,981.7,221,2.2,144,,
2008,1,7,16,0,23.3,168,0,21.9,0,0,0,0,40.6,91.7,0,981.5,222,2.3,150,,
2008,1,7,17,0,23,-165,0,21.7,0,0,0,0,40,92,0,981.2,223,2.4,149,,
2008,1,7,18,0,22.8,-144,0,21.5,0,0,0,0,39.5,92.3,0,980.9,223,2.5,143,,
2008,1,7,19,0,22.6,-130,0,21.4,0,0,0,0,39.1,92.6,0,980.6,223,2.5,133,,
2008,1,7,20,0,22.5,-121,0,21.3,0,0,0,0,38.7,92.8,0,980.3,222,2.5,121,,
2008,1,7,21,0,22.6,-116,0.1,21.4,0,0,0,0,37.9,92.6,0,980.4,220,2.6,107,,
2008,1,7,22,0,23,-113,1.4,21.7,3,8,2,5,36.9,92.1,0,980.7,217,2.7,94,,
2008,1,7,23,0,23.5,-112,0.6,22,70,193,48,118,35.8,91.4,0,981,214,2.7,80,,
2008,1,8,0,0,24.3,-112,0,22.1,135,461,198,333,35.4,87.4,0,981.3,217,2.8,66,,
2008,1,8,1,0,25.4,-114,0,21.9,170,646,395,565,35.5,81.4,0,981.5,224,2.9,53,,
